125,176226
302,1531015
56,581696
79,16726058
21,08975233
86,75977343
45,79619249
17,42533899
125,3534787
54,08143017
29,78660556
39,66262605
16,78489784
126,4431964
62,21197751
52,66855151
95,52611679
23,85097166
202,9957029
61,91832647
37,73964179
2,130335123
138,3881085
3,003724117
42,53562152
41,6382912
65,90209022
39,10839035
28,80791759
24,93431151
146,9911298
540,6529698
25,83444021
129,7567318
94,34113507
15,48385854
119,107339
30,50079163
11,91585523
1,661641798
24,04475353
8,152520591
31,02363745
76,54008193
28,84936633
140,1035765
21,80443605
18,50733957
13,26879505
44,13420807
271,842548
28,61290117
1,010072017
54,97652836
6,859738308
4,765798922
30,19107434
10,55999009
0,550015348
52,61571523
24,91489269
59,30375278
56,05272826
6,909028059
126,0378402
38,39927373
22,55172952
32,89825387
11,83104641
15,95023145
122,564295
78,8733936
101,6102659
6,939854728
34,15330203
99,16134459
17,62397001
118,470869
82,76706988
110,5728547
11,25176065
15,98368292
84,17283795
239,6161795
70,47671093
57,70171586
39,13650822
3,026829923
9,082640683
11,165679
47,86226189
28,15152997
31,05128226
7,151960041
11,11937845
16,0482492
39,8366576
33,54811421
143,3686306
118,470869
26,9086377
66,75944521
9,615463957
39,60236551
77,96003098
7,034488727
44,2910709
28,43616188
76,5269686
157,7693948
13,35566214
29,92213078
15,27800208
69,46581425
26,32368478
149,4157021
110,0547664
92,84258179
65,92955646
85,14883545
7,721961737
9,231952858
12,43850467
139,9901906
10,91476154
87,17327224
34,01434201
59,54532083
10,99828416
43,68123209
1,903090816
162,3860416
313,6015917
73,85986285
89,74863758
82,05837175
33,28286038
95,09575033
33,33071109
139,407753
6,792030947
123,6472026
6,367018953
25,1344136
109,5979694
12,55802886
55,82479451
41,13460797
19,99126447
30,75094452
46,93832877
24,70722733
68,86850588
93,77915233
46,57509045
4,079829362
69,9045196
10,1162043
35,78322216
131,4356146
131,4519879
54,73895857
115,7504546
122,5925436
8,499628128
162,2764525
79,69711092
23,50590109
16,65182522
151,5519592
58,68213773
72,32449224
14,08525934
3,615164798
7,166402212
36,70448758
37,1585731
9,682131825
2,28991979
123,7767456
22,11070735
25,45261308
13,19802283
18,54224794
9,142320972
149,9928431
173,1719663
55,38533377
41,5101447
34,73524693
40,27574926
180,1241786
51,98092765
58,83815927
18,89245322
82,83985892
21,0611332
45,29547242
15,322899
27,71401892
38,84892291
24,64644825
22,37067769
163,4651576
20,69290661
35,02670836
7,321358308
113,7668029
42,74433035
4,09943208
139,0349652
2,763566253
66,79288071
6,419981102
169,3263295
27,25083028
91,0622873
32,99338125
36,48881759
6,161723768
54,80739184
27,98489974
2,503361764
6,242944803
9,240496215
61,86182203
131,1253676
40,11115973
38,93645539
19,34826956
65,7320796
28,34211337
30,33966058
280,6119248
30,93771272
56,43611615
5,499826228
51,24514695
13,83569226
218,6243563
27,53990388
45,74907207
10,96530081
115,4988819
54,74351836
81,36505294
21,38715717
96,8360536
115,2983805
21,20436554
113,184274
228,9091231
36,32421765
21,59937057
100,5442731
193,7620804
35,61391339
94,8105448
2,191079243
114,0724581
8,766050895
46,72650507
70,90498676
12,01420492
16,4828858
151,758342
45,6118485
51,39589539
96,22300976
54,84848929
72,82165635
59,34804957
29,81067657
16,34807592
44,34856236
254,0317432
91,72583434
164,8776522
1,351825591
5,189561812
52,24278434
59,29883293
57,31494122
43,41258904
0,087957747
11,13260353
78,84613017
42,24982716
24,28855052
22,3653609
86,30279065
35,32948998
13,39685364
20,61281876
10,78092841
203,4289178
14,32191858
17,9194522
3,211997395
44,65611734
6,058326152
17,63625276
9,165783051
186,1272464
139,9524429
196,5554842
28,17495375
206,8967981
29,51647004
172,7793804
4,577757531
3,987782276
10,04039338
53,88781625
206,7243016
104,1322437
62,28949356
42,65852278
170,3509339
2,967158113
55,86659503
44,36390273
107,8710702
76,74370575
4,168092074
5,205536253
10,04688771
17,74937218
40,16120442
15,74515196
2,020392906
318,2056194
7,576355841
123,6903525
19,45200359
34,86279174
12,9407511
51,94609961
113,657147
11,54181417
2,834552879
58,24548989
60,9092998
171,0755423
78,75080559
37,58870694
108,9079816
119,1873746
18,16432526
35,79984681
98,87522102
17,0008607
2,616106036
113,8156032
79,8978842
222,0826964
55,41760547
4,36863622
187,6118583
151,3919286
14,16404209
10,32898588
18,48241746
27,36629265
38,63587807
28,56866752
5,127700993
147,8458451
44,6985297
3,599608162
94,05070546
103,7285503
116,4222689
32,37459124
7,53066687
17,85037609
34,70911737
57,00635961
123,2316785
34,23748076
12,63483032
74,9738189
145,918734
6,493390573
29,47755079
99,20916479
66,77058831
25,31842862
9,204195344
371,5490743
5,181576186
11,17670821
40,56307172
36,31080083
17,80108465
119,321005
16,57212308
20,74204561
82,92002899
48,07814075
8,074959221
37,12456721
86,51922995
212,3797877
29,48054369
28,10763503
8,783006633
134,8025567
28,27460694
41,19278979
34,75485157
12,34620561
16,72437369
57,58685581
3,506352955
195,1188633
26,40324532
0,463223403
49,69522177
99,89235716
40,22918904
13,83108042
18,489893
49,68264711
31,87103053
59,01906638
16,08654351
48,39316653
199,5362296
77,69873862
70,03970112
121,0996169
12,9407511
173,6663388
2,945998502
44,60218129
68,27708524
8,265898516
45,67454034
5,075866859
55,81550946
66,54811864
59,28407581
55,92702502
72,50814711
4,366666843
18,20895521
43,05125553
59,41702076
9,759645652
3,254512213
13,44265517
147,267579
59,2299974
36,25716355
438,3680842
1,331227947
19,33563133
9,510236563
25,8119124
64,23930385
29,36990599
45,44759341
77,13316748
135,9564384
85,09587536
62,19132346
15,74753258
16,22796538
145,3380174
27,48487262
29,66639515
10,64520651
91,35535884
16,55764315
1,793563829
22,51707441
51,56864438
87,17327224
93,0235514
116,6521543
1,980635865
41,62363203
12,18894927
10,44437681
93,49142381
101,6999595
76,90842336
24,86498742
6,149550091
63,97280256
0,40973349
97,80022762
51,44766788
7,968214387
23,60894264
27,54859764
16,82124165
19,30531043
68,66688311
